start_time,end_time
1.54,2.065
2.64,5.365
6.74,6.965
9.74,13.565
14.14,14.365
16.44,18.065
21.84,25.065
28.24,29.965
32.74,34.265
36.94,38.265
39.54,39.765
41.34,43.565
45.24,45.465
47.24,48.965
51.14,51.365
52.24,53.465
55.84,56.265
58.24,62.865
66.14,66.365
67.34,68.965
70.54,71.165
71.84,72.065
73.24,73.765
74.64,78.765
82.44,84.565
86.64,88.965
90.64,92.065
93.54,94.465
97.94,99.265
100.84,103.065
105.84,106.865
110.74,113.565
115.34,116.265
118.94,120.365
122.84,124.365
126.04,126.965
131.24,133.465
134.54,135.265
136.14,138.265
139.54,140.465
142.14,143.165
145.64,148.365
149.94,150.765
152.14,153.265
154.74,155.765
156.34,157.365
159.74,160.765
162.84,163.465
165.44,166.165
168.34,169.265
171.14,172.065
173.24,173.865
175.04,175.665
176.64,177.365
181.54,183.565
187.74,190.165
192.14,192.965
195.04,198.265
201.04,202.265
204.64,205.465
208.04,209.365
211.04,212.265
214.74,215.865
218.24,219.965
221.14,222.665
225.14,226.465
229.84,231.865
234.74,235.665
237.04,237.665
238.24,238.465
240.34,240.665
242.54,243.765
245.84,246.965
247.44,247.665
250.04,252.165
253.74,253.965
255.04,256.365
258.94,260.665
262.74,263.465
264.94,265.865
267.54,269.165
273.14,274.365
276.94,278.165
280.24,281.665
283.34,284.265
288.44,289.765
293.34,294.565
297.74,299.465
303.84,307.565
